molecular class	DOID	disease name	clinic classification
C1	DOID:9849	Meniere's disease	Diseases_of_the_ear_and_mastoid_process
C1	DOID:10842	Murray Valley encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:2755	Mycobacterium avium complex disease	Certain_infectious_and_parasitic_diseases
C1	DOID:992	Omsk hemorrhagic fever	Certain_infectious_and_parasitic_diseases
C1	DOID:5501	Pediculus humanus capitis infestation	Certain_infectious_and_parasitic_diseases
C1	DOID:5513	Pediculus humanus corporis infestation	Certain_infectious_and_parasitic_diseases
C1	DOID:11360	Phlebotomus fever	Certain_infectious_and_parasitic_diseases
C1	DOID:14067	Plasmodium falciparum malaria	Certain_infectious_and_parasitic_diseases
C1	DOID:14324	Plasmodium malariae malaria	Certain_infectious_and_parasitic_diseases
C1	DOID:12919	Plasmodium ovale malaria	Certain_infectious_and_parasitic_diseases
C1	DOID:12978	Plasmodium vivax malaria	Certain_infectious_and_parasitic_diseases
C1	DOID:13760	Pthirus pubis infestation	Certain_infectious_and_parasitic_diseases
C1	DOID:11100	Q fever	Certain_infectious_and_parasitic_diseases
C1	DOID:1328	Rift Valley fever	Certain_infectious_and_parasitic_diseases
C1	DOID:10921	Siberian tick typhus	Certain_infectious_and_parasitic_diseases
C1	DOID:10845	St. Louis encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:0050269	Trichomonas vaginalis trichomoniasis	Certain_infectious_and_parasitic_diseases
C1	DOID:9584	Venezuelan equine encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:2365	West Nile encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:2366	West Nile fever	Certain_infectious_and_parasitic_diseases
C1	DOID:10843	Western equine encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:8476	Whipple disease	Diseases_of_the_digestive_system
C1	DOID:0060478	Zika fever	Certain_infectious_and_parasitic_diseases
C1	DOID:6543	acne	Diseases_of_the_skin_and_subcutaneous_tissue
C1	DOID:12689	acoustic neuroma	Diseases_of_the_ear_and_mastoid_process
C1	DOID:635	acquired immunodeficiency syndrome	Certain_infectious_and_parasitic_diseases
C1	DOID:8478	actinomycosis	Certain_infectious_and_parasitic_diseases
C1	DOID:10615	acute gonococcal cervicitis	Certain_infectious_and_parasitic_diseases
C1	DOID:13690	acute gonococcal cystitis	Certain_infectious_and_parasitic_diseases
C1	DOID:7527	acute gonococcal endometritis	Certain_infectious_and_parasitic_diseases
C1	DOID:10802	acute gonococcal epididymo-orchitis	Diseases_of_the_genitourinary_system
C1	DOID:13943	acute gonococcal prostatitis	Certain_infectious_and_parasitic_diseases
C1	DOID:13942	acute gonococcal salpingitis	Certain_infectious_and_parasitic_diseases
C1	DOID:4798	aggressive systemic mastocytosis	Neoplasms
C1	DOID:12351	alcoholic hepatitis	Diseases_of_the_digestive_system
C1	DOID:13166	allergic bronchopulmonary aspergillosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11186	allescheriosis	Certain_infectious_and_parasitic_diseases
C1	DOID:12148	alveolar echinococcosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9181	amebiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:12841	ancylostomiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:13550	angle-closure glaucoma	Diseases_of_the_eye_and_adnexa
C1	DOID:7033	anisakiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:11168	anogenital venereal wart	Certain_infectious_and_parasitic_diseases
C1	DOID:7427	anthrax disease	Certain_infectious_and_parasitic_diseases
C1	DOID:8337	appendicitis	Diseases_of_the_digestive_system
C1	DOID:456	ascariasis	Certain_infectious_and_parasitic_diseases
C1	DOID:13564	aspergillosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11782	astigmatism	Diseases_of_the_eye_and_adnexa
C1	DOID:10035	asymptomatic neurosyphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:9643	babesiosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9700	bacterial conjunctivitis	Diseases_of_the_eye_and_adnexa
C1	DOID:104	bacterial infectious disease	Certain_infectious_and_parasitic_diseases
C1	DOID:9470	bacterial meningitis	Diseases_of_the_nervous_system
C1	DOID:874	bacterial pneumonia	Diseases_of_the_respiratory_system
C1	DOID:12386	balantidiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:11102	bartonellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:12711	black piedra	Certain_infectious_and_parasitic_diseases
C1	DOID:14068	blackwater fever	Certain_infectious_and_parasitic_diseases
C1	DOID:754	bladder tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:12663	blastomycosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9423	blepharitis	Diseases_of_the_eye_and_adnexa
C1	DOID:1023	borderline leprosy	Certain_infectious_and_parasitic_diseases
C1	DOID:11976	botulism	Certain_infectious_and_parasitic_diseases
C1	DOID:14095	boutonneuse fever	Certain_infectious_and_parasitic_diseases
C1	DOID:936	brain disease	Diseases_of_the_nervous_system
C1	DOID:9563	bronchiectasis	Diseases_of_the_respiratory_system
C1	DOID:6132	bronchitis	Diseases_of_the_respiratory_system
C1	DOID:12375	bronchopneumonia	Diseases_of_the_respiratory_system
C1	DOID:11077	brucellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:10773	bubonic plague	Certain_infectious_and_parasitic_diseases
C1	DOID:14512	candidal paronychia	Certain_infectious_and_parasitic_diseases
C1	DOID:1508	candidiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:12474	capillariasis	Certain_infectious_and_parasitic_diseases
C1	DOID:9880	cardiovascular syphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:1222	cartilage disease	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:11258	cat-scratch disease	Certain_infectious_and_parasitic_diseases
C1	DOID:83	cataract	Diseases_of_the_eye_and_adnexa
C1	DOID:1638	central nervous system tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11302	cercarial dermatitis	Certain_infectious_and_parasitic_diseases
C1	DOID:14069	cerebral malaria	Certain_infectious_and_parasitic_diseases
C1	DOID:2568	cervicitis	Diseases_of_the_genitourinary_system
C1	DOID:13778	chancroid	Certain_infectious_and_parasitic_diseases
C1	DOID:8659	chickenpox	Certain_infectious_and_parasitic_diseases
C1	DOID:9446	cholangitis	Diseases_of_the_digestive_system
C1	DOID:1498	cholera	Certain_infectious_and_parasitic_diseases
C1	DOID:2557	chondromalacia	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:3302	chordoma	Neoplasms
C1	DOID:1562	chromoblastomycosis	Certain_infectious_and_parasitic_diseases
C1	DOID:12718	chronic gonococcal salpingitis	Certain_infectious_and_parasitic_diseases
C1	DOID:1512	chronic gonorrhea of cervix	Certain_infectious_and_parasitic_diseases
C1	DOID:9296	cleft lip	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C1	DOID:13767	clonorchiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:13450	coccidioidomycosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9256	colorectal cancer	Neoplasms
C1	DOID:11165	common wart	Certain_infectious_and_parasitic_diseases
C1	DOID:9856	congenital syphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:6195	conjunctivitis	Diseases_of_the_eye_and_adnexa
C1	DOID:2089	constipation	Diseases_of_the_digestive_system
C1	DOID:8771	contagious pustular dermatitis	Certain_infectious_and_parasitic_diseases
C1	DOID:11030	corneal edema	Diseases_of_the_eye_and_adnexa
C1	DOID:8956	cowpox	Certain_infectious_and_parasitic_diseases
C1	DOID:12053	cryptococcosis	Certain_infectious_and_parasitic_diseases
C1	DOID:1733	cryptosporidiosis	Certain_infectious_and_parasitic_diseases
C1	DOID:7426	cutaneous anthrax	Certain_infectious_and_parasitic_diseases
C1	DOID:12275	cutaneous diphtheria	Certain_infectious_and_parasitic_diseases
C1	DOID:9111	cutaneous leishmaniasis	Certain_infectious_and_parasitic_diseases
C1	DOID:12750	cyclosporiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:1495	cystic echinococcosis	Certain_infectious_and_parasitic_diseases
C1	DOID:1485	cystic fibrosis	Endocrine,_nutritional_and_metabolic_diseases
C1	DOID:10079	cysticercosis	Certain_infectious_and_parasitic_diseases
C1	DOID:1679	cystitis	Diseases_of_the_genitourinary_system
C1	DOID:2112	cystoisosporiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:9938	dacryocystitis	Diseases_of_the_eye_and_adnexa
C1	DOID:90	degenerative disc disease	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:12205	dengue disease	Certain_infectious_and_parasitic_diseases
C1	DOID:12206	dengue hemorrhagic fever	Certain_infectious_and_parasitic_diseases
C1	DOID:8913	dermatophytosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11713	diabetic angiopathy	Endocrine,_nutritional_and_metabolic_diseases
C1	DOID:1219	dicrocoeliasis	Certain_infectious_and_parasitic_diseases
C1	DOID:11405	diphtheria	Certain_infectious_and_parasitic_diseases
C1	DOID:13306	diphtheritic cystitis	Certain_infectious_and_parasitic_diseases
C1	DOID:13310	diphtheritic peritonitis	Certain_infectious_and_parasitic_diseases
C1	DOID:10075	diphyllobothriasis	Certain_infectious_and_parasitic_diseases
C1	DOID:1082	dirofilariasis	Certain_infectious_and_parasitic_diseases
C1	DOID:14418	dracunculiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:10568	early yaws	Certain_infectious_and_parasitic_diseases
C1	DOID:1496	echinococcosis	Certain_infectious_and_parasitic_diseases
C1	DOID:1218	echinostomiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:11907	ecthyma	Diseases_of_the_skin_and_subcutaneous_tissue
C1	DOID:1570	ectropion	Diseases_of_the_eye_and_adnexa
C1	DOID:9123	eczema herpeticum	Certain_infectious_and_parasitic_diseases
C1	DOID:10242	ehrlichiosis	Certain_infectious_and_parasitic_diseases
C1	DOID:10314	endocarditis	Diseases_of_the_circulatory_system
C1	DOID:7457	enterobiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:10882	epidemic pleurodynia	Certain_infectious_and_parasitic_diseases
C1	DOID:2730	epidermolysis bullosa	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C1	DOID:4959	epidermolysis bullosa dystrophica	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C1	DOID:4644	epidermolysis bullosa simplex	Congenital_malformations,_deformations_and_chromosomal_abnormalities
C1	DOID:11330	erysipelas	Certain_infectious_and_parasitic_diseases
C1	DOID:8743	erythema infectiosum	Certain_infectious_and_parasitic_diseases
C1	DOID:4131	erythrasma	Diseases_of_the_skin_and_subcutaneous_tissue
C1	DOID:13146	esophageal candidiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:7332	esophageal tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:13078	eumycotic mycetoma	Certain_infectious_and_parasitic_diseases
C1	DOID:0050495	exanthema subitum	Certain_infectious_and_parasitic_diseases
C1	DOID:13641	exfoliation syndrome	Diseases_of_the_eye_and_adnexa
C1	DOID:885	fascioliasis	Certain_infectious_and_parasitic_diseases
C1	DOID:888	fasciolopsiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:0050433	fatal familial insomnia	Certain_infectious_and_parasitic_diseases
C1	DOID:12211	filarial elephantiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:1080	filariasis	Certain_infectious_and_parasitic_diseases
C1	DOID:6262	follicular dendritic cell sarcoma	Neoplasms
C1	DOID:4409	folliculitis	Diseases_of_the_skin_and_subcutaneous_tissue
C1	DOID:14188	frozen shoulder	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:1564	fungal infectious disease	Certain_infectious_and_parasitic_diseases
C1	DOID:9159	gas gangrene	Certain_infectious_and_parasitic_diseases
C1	DOID:4029	gastritis	Diseases_of_the_digestive_system
C1	DOID:13386	gastrointestinal anthrax	Certain_infectious_and_parasitic_diseases
C1	DOID:77	gastrointestinal system disease	Diseases_of_the_digestive_system
C1	DOID:14239	gastrointestinal tularemia	Certain_infectious_and_parasitic_diseases
C1	DOID:2832	geotrichosis	Certain_infectious_and_parasitic_diseases
C1	DOID:10718	giardiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:13444	glanders	Certain_infectious_and_parasitic_diseases
C1	DOID:11379	gnathomiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:13453	gonococcal bursitis	Certain_infectious_and_parasitic_diseases
C1	DOID:9698	gonococcal endophthalmia	Certain_infectious_and_parasitic_diseases
C1	DOID:9384	gonococcal iridocyclitis	Certain_infectious_and_parasitic_diseases
C1	DOID:9697	gonococcal keratitis	Certain_infectious_and_parasitic_diseases
C1	DOID:13127	gonococcal spondylitis	Certain_infectious_and_parasitic_diseases
C1	DOID:13454	gonococcal synovitis	Certain_infectious_and_parasitic_diseases
C1	DOID:7551	gonorrhea	Certain_infectious_and_parasitic_diseases
C1	DOID:9113	granuloma inguinale	Certain_infectious_and_parasitic_diseases
C1	DOID:10881	hand, foot and mouth disease	Certain_infectious_and_parasitic_diseases
C1	DOID:9768	heart aneurysm	Diseases_of_the_circulatory_system
C1	DOID:12550	hepatic coma	Diseases_of_the_digestive_system
C1	DOID:13413	hepatic encephalopathy	Diseases_of_the_digestive_system
C1	DOID:1883	hepatitis C	Certain_infectious_and_parasitic_diseases
C1	DOID:10883	herpangina	Certain_infectious_and_parasitic_diseases
C1	DOID:8566	herpes simplex	Certain_infectious_and_parasitic_diseases
C1	DOID:8536	herpes zoster	Certain_infectious_and_parasitic_diseases
C1	DOID:9210	herpes zoster oticus	Certain_infectious_and_parasitic_diseases
C1	DOID:882	heterophyiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:1731	histoplasmosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9909	hordeolum	Diseases_of_the_eye_and_adnexa
C1	DOID:526	human immunodeficiency virus infectious disease	Certain_infectious_and_parasitic_diseases
C1	DOID:10074	hymenolepiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:8504	impetigo	Diseases_of_the_skin_and_subcutaneous_tissue
C1	DOID:13800	inclusion conjunctivitis	Certain_infectious_and_parasitic_diseases
C1	DOID:11851	indeterminate leprosy	Certain_infectious_and_parasitic_diseases
C1	DOID:8568	infectious mononucleosis	Certain_infectious_and_parasitic_diseases
C1	DOID:7848	interdigitating dendritic cell sarcoma	Neoplasms
C1	DOID:100	intestinal infectious disease	Certain_infectious_and_parasitic_diseases
C1	DOID:2074	intestinal perforation	Diseases_of_the_digestive_system
C1	DOID:0050597	intestinal schistosomiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:13282	intestinal tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9778	irritable bowel syndrome	Diseases_of_the_digestive_system
C1	DOID:4677	keratitis	Diseases_of_the_eye_and_adnexa
C1	DOID:9368	keratoconjunctivitis	Diseases_of_the_eye_and_adnexa
C1	DOID:1074	kidney failure	Diseases_of_the_genitourinary_system
C1	DOID:648	kuru	Certain_infectious_and_parasitic_diseases
C1	DOID:5672	large intestine cancer	Neoplasms
C1	DOID:1583	laryngeal tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:10039	late congenital syphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:10567	late yaws	Certain_infectious_and_parasitic_diseases
C1	DOID:9531	latent syphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:11079	leech infestation	Certain_infectious_and_parasitic_diseases
C1	DOID:10458	legionellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9065	leishmaniasis	Certain_infectious_and_parasitic_diseases
C1	DOID:10887	lepromatous leprosy	Certain_infectious_and_parasitic_diseases
C1	DOID:1024	leprosy	Certain_infectious_and_parasitic_diseases
C1	DOID:2297	leptospirosis	Certain_infectious_and_parasitic_diseases
C1	DOID:5502	lice infestation	Certain_infectious_and_parasitic_diseases
C1	DOID:11573	listeriosis	Certain_infectious_and_parasitic_diseases
C1	DOID:13026	lobomycosis	Certain_infectious_and_parasitic_diseases
C1	DOID:13523	loiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:10250	louping ill	Certain_infectious_and_parasitic_diseases
C1	DOID:13035	louse-borne relapsing fever	Certain_infectious_and_parasitic_diseases
C1	DOID:850	lung disease	Diseases_of_the_respiratory_system
C1	DOID:4889	lymph node tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:12155	lymphocytic choriomeningitis	Certain_infectious_and_parasitic_diseases
C1	DOID:13819	lymphogranuloma venereum	Certain_infectious_and_parasitic_diseases
C1	DOID:12365	malaria	Certain_infectious_and_parasitic_diseases
C1	DOID:8580	malignant histiocytosis	Neoplasms
C1	DOID:1081	mansonelliasis	Certain_infectious_and_parasitic_diseases
C1	DOID:355	mast-cell sarcoma	Neoplasms
C1	DOID:10690	mastitis	Pregnancy,_childbirth_and_the_puerperium
C1	DOID:8622	measles	Certain_infectious_and_parasitic_diseases
C1	DOID:9903	meibomian cyst	Diseases_of_the_eye_and_adnexa
C1	DOID:5052	melioidosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9471	meningitis	Diseases_of_the_nervous_system
C1	DOID:0080176	meningococcal meningitis	Certain_infectious_and_parasitic_diseases
C1	DOID:10554	meningoencephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:884	metagonimiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:4271	microsporidiosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9861	miliary tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:8729	milker's nodule	Certain_infectious_and_parasitic_diseases
C1	DOID:7894	mite infestation	Certain_infectious_and_parasitic_diseases
C1	DOID:988	mitral valve prolapse	Diseases_of_the_circulatory_system
C1	DOID:14325	mixed malaria	Certain_infectious_and_parasitic_diseases
C1	DOID:8867	molluscum contagiosum	Certain_infectious_and_parasitic_diseases
C1	DOID:3292	monkeypox	Certain_infectious_and_parasitic_diseases
C1	DOID:9155	mucocutaneous leishmaniasis	Certain_infectious_and_parasitic_diseases
C1	DOID:401	multidrug-resistant tuberculosis	Factors_influencing_health_status_and_contact_with_health_services
C1	DOID:10264	mumps	Certain_infectious_and_parasitic_diseases
C1	DOID:9884	muscular dystrophy	Diseases_of_the_nervous_system
C1	DOID:437	myasthenia gravis	Diseases_of_the_nervous_system
C1	DOID:11080	myiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:11830	myopia	Diseases_of_the_eye_and_adnexa
C1	DOID:2790	necatoriasis	Certain_infectious_and_parasitic_diseases
C1	DOID:13924	necrotizing ulcerative gingivitis	Certain_infectious_and_parasitic_diseases
C1	DOID:3192	neurilemmoma	Neoplasms
C1	DOID:1227	neutropenia	Diseases_of_the_blood_and_blood-forming_organs_and_certain_disorders_involving_the_immune_mechanism
C1	DOID:2312	nocardiosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9672	noma	Certain_infectious_and_parasitic_diseases
C1	DOID:4986	nonparalytic poliomyelitis	Certain_infectious_and_parasitic_diseases
C1	DOID:2321	obsolete dyspepsia	Diseases_of_the_digestive_system
C1	DOID:9282	ocular hypertension	Diseases_of_the_eye_and_adnexa
C1	DOID:13226	oculoglandular tularemia	Certain_infectious_and_parasitic_diseases
C1	DOID:11678	onchocerciasis	Certain_infectious_and_parasitic_diseases
C1	DOID:9699	ophthalmia neonatorum	Certain_conditions_originating_in_the_perinatal_period
C1	DOID:13768	opisthorchiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:14262	oral candidiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:11262	ornithosis	Certain_infectious_and_parasitic_diseases
C1	DOID:1019	osteomyelitis	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:12662	paracoccidioidomycosis	Certain_infectious_and_parasitic_diseases
C1	DOID:10699	paragonimiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:883	parasitic helminthiasis infectious disease	Certain_infectious_and_parasitic_diseases
C1	DOID:2789	parasitic protozoa infectious disease	Certain_infectious_and_parasitic_diseases
C1	DOID:3055	paratyphoid fever	Certain_infectious_and_parasitic_diseases
C1	DOID:13117	paronychia	Diseases_of_the_skin_and_subcutaneous_tissue
C1	DOID:11055	pasteurellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:14284	patellofemoral pain syndrome	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:2964	periarthritis	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:118	pericardial effusion	Diseases_of_the_circulatory_system
C1	DOID:4962	pericardial tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:8677	perinatal necrotizing enterocolitis	Diseases_of_the_digestive_system
C1	DOID:4491	persian gulf syndrome	Factors_influencing_health_status_and_contact_with_health_services
C1	DOID:2275	pharyngitis	Diseases_of_the_respiratory_system
C1	DOID:3263	piebaldism	Endocrine,_nutritional_and_metabolic_diseases
C1	DOID:1022	pinta disease	Certain_infectious_and_parasitic_diseases
C1	DOID:9060	pityriasis versicolor	Certain_infectious_and_parasitic_diseases
C1	DOID:4744	placenta accreta	Pregnancy,_childbirth_and_the_puerperium
C1	DOID:3482	plague	Certain_infectious_and_parasitic_diseases
C1	DOID:13775	plantar wart	Certain_infectious_and_parasitic_diseases
C1	DOID:106	pleural tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11339	pneumocystosis	Certain_infectious_and_parasitic_diseases
C1	DOID:552	pneumonia	Diseases_of_the_respiratory_system
C1	DOID:10398	pneumonic plague	Certain_infectious_and_parasitic_diseases
C1	DOID:2122	pneumonic tularemia	Certain_infectious_and_parasitic_diseases
C1	DOID:4953	poliomyelitis	Certain_infectious_and_parasitic_diseases
C1	DOID:1389	polyneuropathy	Certain_infectious_and_parasitic_diseases
C1	DOID:10762	portal hypertension	Diseases_of_the_digestive_system
C1	DOID:0111154	postural orthostatic tachycardia syndrome	Diseases_of_the_circulatory_system
C1	DOID:4156	primary syphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:649	prion disease	Certain_infectious_and_parasitic_diseases
C1	DOID:643	progressive multifocal leukoencephalopathy	Certain_infectious_and_parasitic_diseases
C1	DOID:14397	protozoal dysentery	Certain_infectious_and_parasitic_diseases
C1	DOID:3559	pseudomyxoma peritonei	Neoplasms
C1	DOID:2957	pulmonary tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11400	pyelonephritis	Diseases_of_the_genitourinary_system
C1	DOID:8553	pyoderma gangrenosum	Diseases_of_the_skin_and_subcutaneous_tissue
C1	DOID:876	pyomyositis	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:11260	rabies	Certain_infectious_and_parasitic_diseases
C1	DOID:9835	refractive error	Diseases_of_the_eye_and_adnexa
C1	DOID:13034	relapsing fever	Certain_infectious_and_parasitic_diseases
C1	DOID:9733	renal tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11162	respiratory failure	Diseases_of_the_respiratory_system
C1	DOID:1586	rheumatic fever	Diseases_of_the_circulatory_system
C1	DOID:11336	rhinoscleroma	Certain_infectious_and_parasitic_diseases
C1	DOID:2409	rhinosporidiosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11103	rickettsialpox	Certain_infectious_and_parasitic_diseases
C1	DOID:8781	rubella	Certain_infectious_and_parasitic_diseases
C1	DOID:0060859	salmonellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9640	sarcocystosis	Certain_infectious_and_parasitic_diseases
C1	DOID:8295	scabies	Certain_infectious_and_parasitic_diseases
C1	DOID:8596	scarlet fever	Certain_infectious_and_parasitic_diseases
C1	DOID:13371	scrub typhus	Certain_infectious_and_parasitic_diseases
C1	DOID:4157	secondary syphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:10399	seminal vesicle chronic gonorrhea	Neoplasms
C1	DOID:3481	septicemic plague	Certain_infectious_and_parasitic_diseases
C1	DOID:12385	shigellosis	Certain_infectious_and_parasitic_diseases
C1	DOID:13014	shipyard eye	Certain_infectious_and_parasitic_diseases
C1	DOID:14276	shoulder impingement syndrome	Diseases_of_the_musculoskeletal_system_and_connective_tissue
C1	DOID:1639	skeletal tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:10112	sleeping sickness	Certain_infectious_and_parasitic_diseases
C1	DOID:8736	smallpox	Certain_infectious_and_parasitic_diseases
C1	DOID:12096	sodoku disease	Certain_infectious_and_parasitic_diseases
C1	DOID:10080	sparganosis	Certain_infectious_and_parasitic_diseases
C1	DOID:9305	splenic tuberculosis	Certain_infectious_and_parasitic_diseases
C1	DOID:14484	sporotrichosis	Certain_infectious_and_parasitic_diseases
C1	DOID:11104	spotted fever	Certain_infectious_and_parasitic_diseases
C1	DOID:96	staphyloenterotoxemia	Certain_infectious_and_parasitic_diseases
C1	DOID:76	stomach disease	Diseases_of_the_digestive_system
C1	DOID:10955	strongyloidiasis	Certain_infectious_and_parasitic_diseases
C1	DOID:8970	subacute sclerosing panencephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:0050133	superficial mycosis	Certain_infectious_and_parasitic_diseases
C1	DOID:4166	syphilis	Certain_infectious_and_parasitic_diseases
C1	DOID:10081	syphilitic encephalitis	Certain_infectious_and_parasitic_diseases
C1	DOID:10073	syphilitic meningitis	Factors_influencing_health_status_and_contact_with_health_services
C1	DOID:10027	tabes dorsalis	Certain_infectious_and_parasitic_diseases
